7.812840720207741008e+00,2.599054420638158280e-01
2.684229900236049460e+00,8.351238715661629897e+00
3.747324705567648628e+00,5.325955065378407127e-01
4.995982589213575409e+00,2.135304686788197515e-01
8.684942243131661854e+00,7.678164876991020904e+00
7.272087692693887107e+00,2.001841296270849835e+00
6.114280212019114202e+00,7.368315794763895532e+00
4.147600948140469868e+00,6.878066269117123710e+00
2.405552069530644488e+00,7.637038854622143269e+00
1.789337349847309744e+00,8.945818332087920766e+00
4.848416850701553926e+00,5.261833043392860620e-01
2.071579255150158616e+00,6.589931044412502104e+00
3.999319604720168453e+00,9.682786795264807012e+00
6.571133810492241878e+00,4.422283937582514035e+00
1.970295233533335688e+00,6.582688906854357924e+00
3.262179457164261720e+00,8.966405139513229372e+00
9.580716539578151725e+00,3.059061783546041191e+00
5.768574170162739101e+00,5.219436031372550744e+00
3.597127885437756412e+00,3.965005055619532648e+00
2.651737622896026547e+00,9.111532231372155621e+00
